,单词,词性,示意,引句
0,adorable,adjective,可爱,she looked just <adorable>
1,affectionate,adjective,亲热,an <affectionate> kiss
2,afflict,verb,折磨,serious ills <afflict> the industry
3,agreement,noun,协议,<agreement> between experimental observations and theory
4,aired,verb,播出, 
5,alternatively,adverb,或者,"<alternatively>, you may telephone us direct"
6,amount,noun,数量,what this guy was doing clearly did <amount> to persecution
7,appealing,adjective,吸引力,an <appealing> look
8,appears, ,出现, 
9,archive,noun,档案,a section of <archive> film
10,assert,verb,断言,the good librarian is able to <assert> authority when required
11,association,noun,协会,cases of cancer found in <association> with colitis
12,atmosphere,noun,气氛,"a superb restaurant, full of <atmosphere>"
13,attitude,noun,态度,"the boy was standing in an <attitude> of despair, his chin sunk on his chest"
14,audience,noun,观众,there will always be an <audience> for romantic literature
15,blend,verb,混合,<blend> and smudge the darker colors under the bottom lashes
16,bordering, ,毗邻, 
17,carrying, ,携带, 
18,cathedral, ,大教堂, 
19,celebrations, ,庆祝活动, 
20,characteristics, ,特征, 
21,claims, ,索赔, 
22,clichés,noun,陈词滥调, 
23,combine,verb,结合,<combine> shopping and sightseeing
24,commission,noun,委员会,foreign banks may charge a <commission>
25,compatible,adjective,兼容的,it's a pity we're not <compatible>
26,compile,verb,编译,this allows you to create programs and <compile> them
27,condescending,adjective,居终,a <condescending> smile
28,constituent,adjective,组分,a <constituent> assembly
29,consumes, ,消耗, 
30,continuously, ,持续,their performance has <continuously> improved
31,convey,verb,传达,Mr. Harvey and his daughter have asked me to <convey> their very kind regards
32,conveying, ,传达, 
33,craft,noun,工艺,pewter <craft>
34,currently, ,目前,the price is <currently> at a premium
35,decorate,verb,装饰, 
36,dedicated,adjective,投入的,a team of <dedicated> doctors
37,denies, ,否认, 
38,determine,verb,决定,officials are working with state police to <determine> the cause of a deadly bus crash
39,dictator,noun,独裁者, 
40,diminutiveness, ,减少, 
41,directly,adverb,直接地,the security forces were <directly> responsible for the massacre
42,discredited,verb,错了,a <discredited> theory
43,dispute,noun,争议,the question in <dispute> is altogether insignificant
44,distractions,noun,分心, 
45,distribution,noun,分配,an established <distribution> channel
46,disturbance,noun,骚乱,a helicopter landing can cause <disturbance> to residents
47,divine,adjective,神圣,paintings of shipwrecks being prevented by <divine> intervention
48,embellished, ,缀饰, 
